assembly_name	ena_accession	fasta_url	fastq_url
BAL04-015	GCA_900707555	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707555?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418586/ERR3418586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418586/ERR3418586_2.fastq.gz""]"
BAL04-016			
BAL04-017			
BAL04-018			
BAL04-019			
BAL04-020			
BAL04-021			
BAL04-022			
BAL04-023			
BAL04-024			
BAL04-025			
BAL04-026			
BAL04-027	GCA_900707675	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707675?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418587/ERR3418587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418587/ERR3418587_2.fastq.gz""]"
BAL04-028			
BAL04-029			
BAL04-030			
BAL04-031			
CAN01-001			
CAN01-002			
CAN01-003	GCA_900707575	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707575?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418589/ERR3418589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418589/ERR3418589_2.fastq.gz""]"
CAN01-004	GCA_900707445	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707445?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418590/ERR3418590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418590/ERR3418590_2.fastq.gz""]"
CAN01-005			
CAN01-006			
CAN01-007			
CAN01-008			
CAN01-009			
CAN01-010			
CAN01-013			
CAN01-014			
CAN01-015			
CAN01-016			
CAN01-017	GCA_900707475	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707475?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418591/ERR3418591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418591/ERR3418591_2.fastq.gz""]"
CAN01-021			
CAN01-025	GCA_900707615	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707615?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418592/ERR3418592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418592/ERR3418592_2.fastq.gz""]"
